X,Y,Z
327674.8633,6355551.952,1297
321674.8633,6353551.952,1428
323674.8633,6353551.952,1252
325674.8633,6353551.952,1265
327674.8633,6353551.952,1128
329674.8633,6353551.952,812
331674.8633,6353551.952,823
333674.8633,6353551.952,968
335674.8633,6353551.952,985
337674.8633,6353551.952,1137
349674.8633,6353551.952,2100
321674.8633,6351551.952,1385
323674.8633,6351551.952,1025
325674.8633,6351551.952,841
327674.8633,6351551.952,817
329674.8633,6351551.952,779
331674.8633,6351551.952,840
333674.8633,6351551.952,935
335674.8633,6351551.952,1266
337674.8633,6351551.952,1358
339674.8633,6351551.952,1264
341674.8633,6351551.952,1084
343674.8633,6351551.952,1316
345674.8633,6351551.952,1185
347674.8633,6351551.952,1344
349674.8633,6351551.952,1748
313674.8633,6349551.952,1577
315674.8633,6349551.952,1471
317674.8633,6349551.952,1510
319674.8633,6349551.952,1344
321674.8633,6349551.952,1034
323674.8633,6349551.952,763
325674.8633,6349551.952,770
327674.8633,6349551.952,754
329674.8633,6349551.952,868
331674.8633,6349551.952,976
333674.8633,6349551.952,1028
335674.8633,6349551.952,1155
337674.8633,6349551.952,1101
339674.8633,6349551.952,923
341674.8633,6349551.952,933
343674.8633,6349551.952,920
345674.8633,6349551.952,940
347674.8633,6349551.952,1225
349674.8633,6349551.952,1561
351674.8633,6349551.952,1805
311674.8633,6347551.952,1517
313674.8633,6347551.952,1233
315674.8633,6347551.952,1084
317674.8633,6347551.952,940
319674.8633,6347551.952,947
321674.8633,6347551.952,1035
323674.8633,6347551.952,727
325674.8633,6347551.952,800
327674.8633,6347551.952,775
329674.8633,6347551.952,959
331674.8633,6347551.952,1213
333674.8633,6347551.952,866
335674.8633,6347551.952,1049
337674.8633,6347551.952,770
339674.8633,6347551.952,759
341674.8633,6347551.952,780
343674.8633,6347551.952,810
345674.8633,6347551.952,846
347674.8633,6347551.952,1003
349674.8633,6347551.952,1067
351674.8633,6347551.952,1260
353674.8633,6347551.952,1632
311674.8633,6345551.952,1585
313674.8633,6345551.952,1188
315674.8633,6345551.952,1156
317674.8633,6345551.952,1176
319674.8633,6345551.952,1084
321674.8633,6345551.952,800
323674.8633,6345551.952,716
325674.8633,6345551.952,1052
327674.8633,6345551.952,860
329674.8633,6345551.952,847
331674.8633,6345551.952,824
333674.8633,6345551.952,652
335674.8633,6345551.952,884
337674.8633,6345551.952,752
339674.8633,6345551.952,695
341674.8633,6345551.952,718
343674.8633,6345551.952,823
345674.8633,6345551.952,879
347674.8633,6345551.952,1073
349674.8633,6345551.952,1280
351674.8633,6345551.952,1410
353674.8633,6345551.952,1525
311674.8633,6343551.952,1350
313674.8633,6343551.952,1232
315674.8633,6343551.952,1133
317674.8633,6343551.952,1127
319674.8633,6343551.952,750
321674.8633,6343551.952,838
323674.8633,6343551.952,706
325674.8633,6343551.952,733
327674.8633,6343551.952,768
329674.8633,6343551.952,691
331674.8633,6343551.952,637
333674.8633,6343551.952,629
335674.8633,6343551.952,976
337674.8633,6343551.952,726
339674.8633,6343551.952,661
341674.8633,6343551.952,700
