X,Y,Z,value
172.0,283.0,0.0,33.8040008545
176.0,121.0,0.0,1.78500008583
165.0,164.0,0.0,235.559005737
187.0,139.0,0.0,75.0409927368
199.0,159.0,0.0,422.330993652
172.0,168.0,0.0,235.417999268
14.0,287.0,0.0,1.34700000286
209.0,202.0,0.0,31.1009998322
31.0,237.0,0.0,138.166976929
83.0,261.0,0.0,0.526666820049
256.0,61.0,0.0,1.24899995327
60.0,14.0,0.0,0.727499961853
166.0,132.0,0.0,33.4630012512
247.0,20.0,0.0,247.74899292
119.0,170.0,0.0,0.526666820049
218.0,135.0,0.0,0.526666820049
97.0,84.0,0.0,53.9930000305
138.0,198.0,0.0,3.36083340645
63.0,74.0,0.0,2.58581829071
40.0,89.0,0.0,15.0579996109
160.0,185.0,0.0,0.526666820049
248.0,57.0,0.0,151.136978149
123.0,57.0,0.0,359.41696167
170.0,40.0,0.0,0.526666820049
221.0,150.0,0.0,193.813964844
230.0,142.0,0.0,247.18296814
138.0,12.0,0.0,46.7519989014
142.0,125.0,0.0,137.940994263
167.0,80.0,0.0,102.034988403
92.0,166.0,0.0,293.216003418
146.0,66.0,0.0,355.406097412
203.0,27.0,0.0,21.4740009308
73.0,207.0,0.0,128.684509277
251.0,290.0,0.0,2.2634999752
194.0,104.0,0.0,316.575134277
44.0,60.0,0.0,394.315002441
72.0,160.0,0.0,1388.31005859
17.0,209.0,0.0,5.25200033188
161.0,88.0,0.0,1007.22967529
255.0,6.0,0.0,0.526666820049
56.0,127.0,0.0,3.00733304024
130.0,102.0,0.0,60.857006073
138.0,148.0,0.0,446.849975586
74.0,162.0,0.0,1369.42028809
62.0,82.0,0.0,1.20900022984
252.0,270.0,0.0,0.526666820049
83.0,252.0,0.0,0.526666820049
170.0,264.0,0.0,371.967987061
191.0,86.0,0.0,385.8800354
207.0,125.0,0.0,8.79500007629
17.0,248.0,0.0,16.7139987946
90.0,258.0,0.0,0.526666820049
31.0,271.0,0.0,232.052978516
35.0,86.0,0.0,65.8335037231
47.0,80.0,0.0,650.690917969
95.0,152.0,0.0,31.3299980164
227.0,0.0,0.0,504.427032471
239.0,52.0,0.0,163.292984009
3.0,289.0,0.0,21.9995002747
221.0,252.0,0.0,12.9240007401
4.0,251.0,0.0,0.526666820049
113.0,18.0,0.0,407.831970215
104.0,91.0,0.0,959.784118652
237.0,189.0,0.0,742.974914551
4.0,37.0,0.0,20.8059997559
193.0,125.0,0.0,0.526666820049
88.0,120.0,0.0,942.510925293
108.0,286.0,0.0,259.727996826
34.0,156.0,0.0,89.6909942627
243.0,133.0,0.0,0.526666820049
191.0,271.0,0.0,12.4320020676
26.0,57.0,0.0,384.933013916
231.0,131.0,0.0,40.2269973755
212.0,75.0,0.0,20.513999939
156.0,65.0,0.0,1084.89001465
144.0,125.0,0.0,400.71395874
83.0,267.0,0.0,0.809666633606
0.0,116.0,0.0,97.9459915161
241.0,228.0,0.0,216.390991211
160.0,84.0,0.0,150.988967896
104.0,114.0,0.0,1292.27001953
222.0,73.0,0.0,0.833999931812
228.0,197.0,0.0,437.774993896
73.0,129.0,0.0,498.006988525
201.0,176.0,0.0,21.9979991913
259.0,97.0,0.0,0.526666820049
69.0,120.0,0.0,0.526666820049
131.0,162.0,0.0,14.5529956818
256.0,85.0,0.0,20.7469978333
45.0,39.0,0.0,18.9479999542
80.0,188.0,0.0,1811.43994141
115.0,151.0,0.0,11.6739988327
121.0,3.0,0.0,63.0820083618
16.0,179.0,0.0,33.0349998474
144.0,57.0,0.0,590.355773926
216.0,138.0,0.0,7.08200073242
3.0,143.0,0.0,1.71950006485
188.0,161.0,0.0,177.617004395
69.0,261.0,0.0,0.526666820049
110.0,95.0,0.0,0.526666820049
76.0,51.0,0.0,2.24899983406
